time_ind,v_ao,v_art,v_ven,v_la,v_lv,p_lv,q_av,p_ao,p_art,q_ao,p_ven,q_art,p_la,q_ven,q_mv,T
221,110.17469980702202,935.8154761633995,2875.978055173531,19.349577128740105,16.766874966746226,14.371771709639422,0.0,23.694614728435333,13.808906184339635,0.0304982196743212,0.5373588586743984,0.013674151412765368,0.16162892492625436,0.06523644993063912,0.0,8821.621150005329
222,110.16072757445157,935.8231718004478,2875.9544320268533,19.379476870940113,16.766874966746226,14.102362357170811,0.0,23.66207650382608,13.811873290781135,0.030388682823101556,0.5371917827061051,0.01367738067336137,0.16249218422210476,0.06505755703754285,0.0,8822.080107455515
223,110.14680551773917,935.8308157843966,2875.9308926371937,19.40929433336336,16.766874966746226,13.832597786992642,0.0,23.6296551276396,13.814820482010436,0.030279567898885355,0.5370252991138041,0.013680588804253414,0.16336027713758916,0.06487792775467927,0.0,8822.539064905699
224,110.13293344362845,935.8384083181808,2875.9074373257567,19.439029185127072,16.766874966746226,13.562596338464424,0.0,23.59735014982481,13.817747836270623,0.03017087327184184,0.5368594101692272,0.013683775883717513,0.1642330100018741,0.0646975961027537,0.0,8822.998022355885
225,110.11911270425516,935.845948014233,2875.88406903259,19.468678521614084,16.766874966746226,13.292470835480357,0.0,23.565164719205356,13.820654818575626,0.030062610306825412,0.5366941366660237,0.01368694133911388,0.1651103309183293,0.06451657470268177,0.0,8823.45697980607
226,110.10534001254292,935.8534382596902,2875.8607827745936,19.498247225865835,16.766874966746226,12.786724424647627,0.0,23.53309118091085,13.823542734859144,0.029954751359022307,0.536529443360947,0.013690086552305244,0.16599178514198895,0.06433493639082923,0.0,8823.915937256254
227,110.09161672809483,935.8608776591445,2875.8375814598317,19.5277324256214,16.766874966746226,12.300808589037036,0.0,23.501132701154873,13.82641104711227,0.029847307856261957,0.5363653508214419,0.01369321094777035,0.16687733054879417,0.06415269205206524,0.0,8824.37489470644
228,110.07794266061349,935.8682664124298,2875.8144653499858,19.557133849663742,16.766874966746226,11.833945550868433,0.0,23.469288836776926,13.829259832382384,0.029740278193660506,0.5362018608982576,0.013696314602986981,0.16776679385750157,0.06396987209384053,0.0,8824.833852156624
229,110.06431762053059,935.8756047186157,2875.791434692958,19.58645124058887,16.766874966746226,11.385388135696074,0.0,23.4375591463146,13.83208916742209,0.029633660772482244,0.5360389753447002,0.013699397595229607,0.16866000657386135,0.06378650607554115,0.0,8825.29280960681
230,110.05074141901157,935.8828927760022,2875.7684897231566,19.61568435452178,16.766874966746226,10.954418926227676,0.0,23.405943190014163,13.834899128687448,0.029527454000177714,0.5358766958186423,0.013702460001565487,0.16955680490645206,0.06360262272345056,0.0,8825.751767056994
231,110.03721386795164,935.8901307821251,2875.7456306619765,19.64483296063958,16.766874966746226,10.540348792683051,0.0,23.374440529821353,13.837689792339514,0.0294216562903506,0.535715023885894,0.013705501898852774,0.17045702961537593,0.06341824995760542,0.0,8826.210724507178
232,110.02373477997088,935.8973189337589,2875.722857718386,19.673896840576745,16.766874966746226,10.142515220927418,0.0,23.343050729369995,13.84046123424628,0.029316266062716582,0.5355539610244092,0.013708523363738196,0.17136052581680483,0.06323341492646167,0.0,8826.669681957364
233,110.01030396841347,935.9044574269196,2875.7001710891655,19.7028757881941,16.766874966746226,9.760281380000498,0.0,23.31177335398021,13.843213529983062,0.029211281743096642,0.5353935086259186,0.013711524472655763,0.1722671429202802,0.06304814401806454,0.0,8827.128639407549
234,109.99692124734383,935.9115464568679,2875.6775709593603,19.731769609119855,16.766874966746226,9.393034726459007,0.0,23.28060797064926,13.845946754833946,0.02910670176338433,0.5352336679991755,0.013714505301824914,0.17317673448226606,0.06286246288603901,0.0,8827.587596857735
235,109.9835864315459,935.9185862181104,2875.655057502199,19.76057812083729,16.766874966746226,9.040187667171413,0.0,23.249554148050137,13.848660983792142,0.02900252456154036,0.535074440369334,0.013717465927251525,0.17408915821189544,0.06267639644848422,0.0,8828.046554307919
236,109.9702993365199,935.9255769044013,2875.632630879473,19.78930115229821,16.766874966746226,8.701176374613379,0.0,23.218611456523853,13.851356291561242,0.028898748581564902,0.5349158268806835,0.013720406424726383,0.17500427584772776,0.06248996890984618,0.0,8828.505511758103
237,109.95705977847767,935.9325187087497,2875.6102912423494,19.817938543115595,16.766874966746226,8.3754579956053,0.0,23.187779468068644,13.854032752557076,0.028795372273458575,0.5347578286023577,0.013723326869821225,0.17592195291966367,0.062303203803247005,0.0,8828.96446920829
238,109.94386757434106,935.9394118234197,2875.588038731449,19.84649014348248,16.766874966746226,8.062510673167989,0.0,23.157057756336197,13.856690440908402,0.028692394093208666,0.5346004465289059,0.013726227337888844,0.17684205870922431,0.06211612399748046,0.0,8829.423426658474
239,109.93072254173981,935.9462564399329,2875.5658734767626,19.874955814257174,16.766874966746226,7.76183435460784,0.0,23.126445896626645,13.859329430457697,0.028589812502771254,0.5344436815796922,0.013729107904064546,0.17776446625345005,0.06192875169623077,0.0,8829.88238410866
240,109.91762449900804,935.9530527490723,2875.543795598423,19.903335426188598,16.766874966746226,7.472947957010882,0.0,23.09594346588056,13.861949794762625,0.028487625970041976,0.5342875346043716,0.013731968643261996,0.17868905211770128,0.06174110847847111,0.0,8830.341341558844
241,109.90457326518134,935.9598009408843,2875.5218052069577,19.931628859668745,16.766874966746226,7.1953887626018895,0.0,23.065550042672054,13.864551607097106,0.02838583296883146,0.5341320063846411,0.013734809630172538,0.17961569630995242,0.06155321531364841,0.0,8830.800299009028
242,109.89156865999456,935.9665012046828,2875.499902403328,19.959836004685645,16.766874966746226,6.928712643377071,0.0,23.035265207203608,13.867134940452276,0.02828443197884637,0.5339770976345715,0.013737630939265824,0.18054428224844624,0.061365092567357025,0.0,8831.259256459214
243,109.87861050387919,935.9731537290506,2875.4780872792207,19.98795676054126,16.766874966746226,6.672493310026747,0.0,23.005088541300168,13.869699867537545,0.02818342148566799,0.5338228090026009,0.013740432644788856,0.18147469666680033,0.0611767600181608,0.0,8831.718213909398
244,109.86569861796006,935.9797587018429,2875.4563599175626,20.01599103532595,16.766874966746226,6.426320550209984,0.0,22.975019628401167,13.87224646078184,0.028082799980723713,0.5336691410752524,0.013743214820763443,0.18240682945424172,0.060988236885977994,0.0,8832.177171359584
245,109.85283282405321,935.9863163101901,2875.4347203926745,20.043938745774547,16.766874966746226,6.189800039154361,0.0,22.945058053555652,13.874774792334565,0.027982565961269086,0.5335160943781502,0.013745977540986136,0.18334057359815928,0.06079954184223205,0.0,8832.636128809769
246,109.8400129446631,935.9928267405002,2875.4131687702416,20.071799817286802,16.766874966746226,5.962553759993411,0.0,22.915203403416044,13.877284934066608,0.027882717930365435,0.5333636693758746,0.013748720879029414,0.18427582517338445,0.060610693011687665,0.0,8833.095086259953
247,109.82723880297974,935.9992901784616,2875.391705107896,20.09957418335421,16.766874966746226,5.744218115617011,0.0,22.885455266231276,13.879776957571531,0.027783254396855046,0.5332118664760155,0.01375144490823874,0.1852124831664078,0.060421708003675,0.0,8833.554043710139
248,109.81451022287628,936.0057068090468,2875.3703294554334,20.127261785335723,16.766874966746226,5.534443399372788,0.0,22.855813231840933,13.88225093416661,0.027684173875339845,0.5330606860307565,0.013754149701731994,0.1861504493967388,0.06023260392601886,0.0,8834.013001160323
249,109.80182702890626,936.0120768165135,2875.3490418548463,20.15486257242586,16.766874966746226,5.332893966920948,0.0,22.82627689166916,13.884706934893824,0.027585474886159565,0.5329101283371017,0.013756835332400262,0.18708962849441885,0.06004339738898223,0.0,8834.47195861051
250,109.78918904630122,936.0184003844089,2875.3278423405554,20.18237650142679,16.766874966746226,5.13924768571969,0.0,22.79684583871917,13.887145030520887,0.027487155955371646,0.532760193638485,0.013759501872907242,0.18802992782100272,0.05985410451926547,0.0,8834.930916060694
251,109.77659610096764,936.0246776955709,2875.3067309398566,20.20980353629677,16.766874966746226,4.953194557940889,0.0,22.767519667565715,13.88956529154245,0.027389215614724242,0.5326108821279649,0.013762149395687182,0.18897125732488607,0.059664740985679865,0.0,8835.389873510878
252,109.76404801948439,936.0309089321327,2875.285707673038,20.237143648036945,16.766874966746226,4.774436593040984,0.0,22.73829797434961,13.891967788181088,0.027291652401636352,0.5324621939490233,0.013764777972945095,0.1899135294955275,0.05947532200723457,0.0,8835.848830961064
253,109.75154462910044,936.0370942755237,2875.264772553562,20.264396814505066,16.766874966746226,4.6026873947836195,0.0,22.70918035677209,13.894352590388298,0.027194464859177276,0.5323141291968815,0.0137673876766564,0.19085665929705453,0.059285862364892854,0.0,8836.307788411248
254,109.7390857577322,936.0432339064736,2875.2439255881263,20.2915630203589,16.766874966746226,4.43767211862737,0.0,22.680166414088724,13.896719767845486,0.02709765153604481,0.5321666879189016,0.013769978578567555,0.19180056414387175,0.05909637640587676,0.0,8836.766745861434
255,109.72667123396099,936.0493280050134,2875.2231667769743,20.318642256742432,16.766874966746226,4.279126727806394,0.0,22.651255747103495,13.899069389965073,0.027001210986543595,0.5320198701168039,0.013772550750194897,0.19274516379114906,0.05890687806306623,0.0,8837.225703311618
256,109.71430088703032,936.0553767504803,2875.202496114028,20.34563452115333,16.766874966746226,4.126797762959496,0.0,22.62244795816243,13.901401525891497,0.026905141770562326,0.5318736757476029,0.013775104262824708,0.19369038028429894,0.058717380863933744,0.0,8837.684660761803
257,109.70197454684345,936.0613803215178,2875.1819135870164,20.372539817313534,16.766874966746226,3.980442134397501,0.0,22.59374265114802,13.903716244502238,0.026809442453553437,0.5317281047245239,0.013777639187513336,0.19463613790917286,0.05852789793935054,0.0,8838.143618211989
258,109.68969204396072,936.0673388960807,2875.1614191779236,20.39935815472684,16.766874966746226,3.8398256686134102,0.0,22.565139431473074,13.906013614408884,0.026714111606510785,0.5315831569201286,0.013780155595085065,0.19558236305878596,0.058338442047269415,0.0,8838.602575662173
259,109.67745320959668,936.0732526514366,2875.1410128631715,20.426089548486633,16.766874966746226,3.7047226515008598,0.0,22.53663790607371,13.908293703958263,0.026619147805944585,0.531438832167677,0.01378265355613188,0.19652898416629477,0.058149025584597974,0.0,8839.061533112359
260,109.66525787561837,936.0791217641685,2875.120694613433,20.45273401947161,16.766874966746226,3.5749169369903426,0.0,22.508237683405525,13.9105565812332,0.02652454963386722,0.5312951302597396,0.013785133141015688,0.19747593174154154,0.057959660580612665,0.0,8839.520490562543
261,109.65310587454213,936.084946410178,2875.100464393938,20.479291594032876,16.766874966746226,3.4502009967480984,0.0,22.47993837343652,13.912802314053675,0.026430315677767893,0.531152050950412,0.013787594419867204,0.19842313827272592,0.05777035871441553,0.0,8839.979448012728
262,109.6409970395315,936.090726764687,2875.080322164646,20.50576230382695,16.766874966746226,3.3303755464583786,0.0,22.451739587641494,13.91503096997781,0.02633644453059222,0.531009593956494,0.013790037462585782,0.19937053816706662,0.05758113132544177,0.0,8840.438405462914
263,109.62893120439452,936.0964630022412,2875.0602678805462,20.53214618550946,16.766874966746226,3.215248543289093,0.0,22.423640938996314,13.917242616302879,0.0262429347907215,0.5308677589596552,0.013792462338838202,0.20031806765352678,0.057391989430724946,0.0,8840.897362913098
264,109.61690820358105,936.1021552967123,2875.040301491631,20.558443280766394,16.766874966746226,3.1046356766642442,0.0,22.39564204197159,13.919437320066345,0.026149785061949968,0.5307265456062136,0.013794869118059981,0.20126566477804742,0.0572029437256863,0.0,8841.356320363284
265,109.60492787218085,936.1078038213008,2875.0204229430633,20.584653636146545,16.766874966746226,2.9983599725441525,0.0,22.367742512527865,13.921615148046758,0.026056993953467174,0.5305859535083195,0.013797257869455069,0.20221326934494868,0.057014004594514514,0.0,8841.815277813468
266,109.59299004592052,936.1134087485377,2875.000632175324,20.61077730290948,16.766874966746226,2.896251451478067,0.0,22.339941968108988,13.923776166764851,0.0259645600798342,0.5304459822450307,0.013799628661995878,0.20316082286240433,0.05682518211981937,0.0,8842.274235263652
267,109.58109456116128,936.118970250289,2874.980929124388,20.63681433685423,16.766874966746226,2.79814671854067,0.0,22.31224002763667,13.925920442484472,0.025872482060963948,0.5303066313635231,0.013801981564422987,0.2041082684850831,0.056636486092800996,0.0,8842.733192713838
268,109.5692412548968,936.1244884977555,2874.961313721857,20.66276479818232,16.766874966746226,2.7038886853260546,0.0,22.28463631150524,13.928048041213568,0.025780758522101946,0.5301679003800578,0.013804316645245167,0.20505555096512298,0.05644792602192988,0.0,8843.192150164023
269,109.55742996475013,936.129963661478,2874.9417858950414,20.68862875142263,16.766874966746226,2.6133265264611314,0.0,22.257130441575,13.930159028705223,0.02568938809380266,0.5300297887805127,0.013806633972739898,0.20600261661736557,0.056259511139075284,0.0,8843.651107614209
270,109.5456605289719,936.1353959113383,2874.922345567095,20.714406265286406,16.766874966746226,2.526315362001337,0.0,22.229722041167587,13.932253470458559,0.025598369411912354,0.5298922960214071,0.013808933614953242,0.20694941326959182,0.0560712504083237,0.0,8844.110065064393
271,109.53393278643746,936.1407854165625,2874.9029926571466,20.74009741254526,16.766874966746226,2.442716018009702,0.0,22.202410735059498,13.934331431719773,0.025507701117545967,0.5297554215307636,0.013811215639700027,0.20789589021790697,0.05588315253387464,0.0,8844.569022514577
272,109.52224657664469,936.1461323457224,2874.8837270804506,20.765702269873987,16.766874966746226,2.3623946391739246,0.0,22.175196149476864,13.936392977483091,0.02541738185706803,0.5296191647092191,0.013813480114563684,0.20884199817332152,0.055695225969508586,0.0,8845.027979964763
273,109.51060173971152,936.1514368667399,2874.8645487484564,20.791220917783722,16.766874966746226,2.285222671679693,0.0,22.148077912090056,13.938438172491713,0.02532741028207311,0.5294835249304964,0.013815727106896726,0.20978768923266505,0.05550747892371891,0.0,8845.486937414948
274,109.49899811637351,936.1566991468873,2874.845457568922,20.816653440508244,16.766874966746226,2.2110766414947616,0.0,22.121055652007446,13.940467081238817,0.025237785049363453,0.529348501542209,0.013817956683820966,0.2107329168371515,0.05531991936704581,0.0,8845.945894865134
275,109.48743554798163,936.1619193527911,2874.8264534460245,20.841999925894356,16.766874966746226,2.139837949850033,0.0,22.09412899977068,13.942479767968473,0.025148504820931596,0.529214093866633,0.013820168912227664,0.211677635732677,0.055132555039103616,0.0,8846.404852315318
276,109.47591387649958,936.1670976504349,2874.8075362804802,20.867260465277294,16.766874966746226,2.0713926004682945,0.0,22.067297587348367,13.94447629667665,0.025059568263937803,0.5290803012015906,0.013822363858777635,0.21262180192551394,0.05494539345642686,0.0,8846.863809765502
277,109.46443294450157,936.1722342051605,2874.7887059696536,20.892435153375434,16.766874966746226,2.0056310024650683,0.0,22.04056104813101,13.946456731112145,0.024970974050691503,0.5289471228211918,0.013824541589901465,0.2135653726441146,0.054758441919230946,0.0,8847.322767215688
278,109.45299259517026,936.1773291816716,2874.769962407623,20.917524088226365,16.766874966746226,1.942447928364913,0.0,22.01391901692563,13.94842113477751,0.024882720858631916,0.5288145579762866,0.013826702171799989,0.21450830631294307,0.05457170751603407,0.0,8847.781724665872
